xanthan,rpm_val,aer_val,placement,n_frames,n_bubbles,epsilon_obs_lower,epsilon_obs_mid,epsilon_obs_upper,a_obs_m2_m3_lower,a_obs_m2_m3_mid,a_obs_m2_m3_upper,mean_diameter_mm,a_specific_m2_m3,a_L_m2_m3
000 xanthan,75.0,45.0,placement_1,982.0,42533.0,0.0014735486728712295,0.0016956341255884104,0.0019177195847548012,6.361893711273866,6.737232879794168,7.1125720436241355,0.45703700563144706,3658.455250563839,6.881816346645251
000 xanthan,75.0,45.0,placement_2,977.0,24110.0,0.0122346208736317,0.014582139115916175,0.016929657404925504,16.214768674895865,18.35375640350853,20.492744064290083,0.7442223058993545,1217.2200721067265,20.519632673786568
000 xanthan,75.0,45.0,placement_3,980.0,19954.0,0.019655769265729952,0.02330352856392084,0.02695128787680784,25.252744271306987,28.545345704917807,31.837947129698495,1.0721596821947017,1184.5999900780425,32.26018115774062
000 xanthan,75.0,45.0,placement_4,981.0,15476.0,0.014238382553037734,0.01719174327684098,0.0201451039344013,19.104349517019493,21.845715858526304,24.5870821903939,1.0522236685792503,1220.0695773289112,24.85035606723214
000 xanthan,75.0,45.0,placement_5,980.0,14041.0,0.01227806220472261,0.015067042210201857,0.01785602231105227,17.575720974282508,20.363017076673408,23.15031326864738,1.1185462797110457,1301.9016104739153,23.285026721920676
000 xanthan,75.0,45.0,placement_6,980.0,16966.0,0.014888656975193443,0.0179465210404213,0.021004385122873247,23.364575851373445,26.698272647014047,30.03196947655094,1.2199500246673896,1433.6581967288073,30.308938769368705
000 xanthan,75.0,55.0,placement_1,982.0,27645.0,0.0012356881300341462,0.001452308461029194,0.0016689288017824476,3.7513498891509007,4.032281745350036,4.313213600269989,0.3999865052240892,2542.3202097587564,4.221911279085582
000 xanthan,75.0,55.0,placement_2,982.0,33267.0,0.008469426139221248,0.01024685987244312,0.012024293651979826,15.715598943169766,17.694265827469604,19.672932743073872,0.721626581234681,1623.1171869296747,19.580126967982043
000 xanthan,75.0,55.0,placement_3,968.0,25497.0,0.016690660889676367,0.019656194259536675,0.022621727627378362,24.857482454239346,27.86087366757921,30.864264849053754,0.9867182653816431,1364.8166972803892,31.106472277710083
000 xanthan,75.0,55.0,placement_4,968.0,17733.0,0.016166108828117264,0.018969227734098388,0.021772346686089766,21.46417303276368,24.08079441665068,26.69741587364047,1.029217440671699,1228.0792230242894,26.97237492415139
000 xanthan,75.0,55.0,placement_5,982.0,20359.0,0.014212581762412168,0.017251327888212438,0.02029007409393939,21.92977379691109,25.048977053037277,28.168180326823283,1.066063734014496,1385.6375240074876,28.41214012725609
