position,rpm,lmin,xanthan,rep,fluid,n_bursts,metric,dt_ms,tau_s,N,rho1,tau_int,N_eff,N_eff_ar1
1,100,45,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.09161769988922265,491.0,0.7677525639132492,11.91031289591184,41.22477757645926,64.50760895300884
1,100,45,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.11027003514890231,491.0,0.7984597383826708,14.335118904476204,34.25154707622851,55.022787745639825
1,100,45,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.03488032467321998,491.0,0.7728274079530821,4.534446741965338,108.28222888933719,62.91742907101345
1,100,45,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.07174557914710501,491.0,0.8310010425613721,9.326934616058269,52.6432338396198,45.31864601578184
1,100,45,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.11502539754828396,500.0,0.053759505578647816,1.1502539754828396,434.6866089205352,448.9831358160542
1,100,45,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.14625483024144767,500.0,0.11042960570632596,1.4625483024144768,341.86905087139013,400.55235816944605
1,100,45,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.1,500.0,0.009483562467906539,1.0,500.0,490.60553056978773
1,100,45,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.21745999654193848,500.0,0.19241062030675365,2.174599965419385,229.92734661594272,338.63728062296605
1,100,45,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.5211718535165067,500.0,0.5909854141383647,5.211718535165067,95.937644488348,128.54127455440772
1,100,45,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,1.0932966831891804,500.0,0.5830114350362748,10.932966831891804,45.7332403626694,131.70737612333477
1,100,45,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.45641531513041694,500.0,0.5674403895291628,4.564153151304169,109.54934758425648,137.98279454849705
1,100,45,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.3686695739232874,500.0,0.43541213444472093,3.6866957392328743,135.6228002976019,196.66402840243714
1,100,55,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.09270502409014152,491.0,0.7742904206482751,12.05166518338358,40.74125795304817,62.460689733761406
1,100,55,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.10213860420576092,491.0,0.8471357776988162,13.278031824780744,36.97837198158001,40.63390144680502
1,100,55,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.08209263838013603,491.0,0.8077153756249431,10.672053661471343,46.00801453731694,52.22711044072077
1,100,55,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.11527570594184659,491.0,0.8733725424985389,14.985856758296816,32.76422615798468,33.1883169112189
1,100,55,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.13961725306980582,500.0,0.08424866877881035,1.3961725306980584,358.12192906417516,422.2976507098693
1,100,55,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.17759026070348632,500.0,0.15300409906167364,1.7759026070348634,281.54697111167894,367.2996052779084
1,100,55,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.13259591276924657,499.0,-0.006163914262215124,1.3259591276924656,376.331358620682,505.1897394570092
1,100,55,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.1622536502402818,499.0,0.14856754304812622,1.6225365024028178,307.5431580497757,369.90841208298247
1,100,55,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.34525964395232256,500.0,0.4506531036106596,3.4525964395232256,144.81854707266214,189.34468034501907
1,100,55,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.3557190381414179,500.0,0.41227670200087685,3.557190381414179,140.5603710761251,208.0765395217708
1,100,55,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.4303196176068507,500.0,0.4671149771090188,4.303196176068507,116.19270410692984,181.60983672221874
1,100,55,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.556507142193839,500.0,0.4755607638437737,5.5650714219383906,89.84610656188904,177.70845125689166
1,100,70,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.05347513873188367,491.0,0.8513638967891581,6.9517749869198635,70.62944369227179,39.41976334479352
1,100,70,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.196249200256211,491.0,0.9250284225518592,25.512421545728973,19.245527090398763,19.12233819292891
1,100,70,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.2593266611717423,491.0,0.9237540249367695,33.71249966482616,14.564330882657254,19.46027052875258
1,100,70,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.32992595622985177,491.0,0.9801355612118249,42.890417200297925,11.44777859602143,4.925642282301607
1,100,70,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1,499.0,-0.0028768349706963007,1.0,499.0,501.8793647579841
1,100,70,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.21914067051828715,499.0,0.2245029349562871,2.1914067051828714,227.7076175863753,316.02458794484403
1,100,70,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.16817179361697657,498.0,0.00815117544496595,1.6817179361697658,296.1257588381504,489.94707010126456
1,100,70,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.2698425017982765,498.0,0.2055955606534391,2.698425017982765,184.55209860612877,328.1477003616062
1,100,70,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,1.3437146429975473,500.0,0.5329308190985359,13.437146429975474,37.2102814094966,152.3451597039883
1,100,70,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,1.758137475888689,500.0,0.49715235905038474,17.581374758886888,28.439186744896848,167.93469212063422
1,100,70,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.5472461109157027,499.0,0.4664790599915527,5.472461109157027,91.18383667725425,181.54159600870724
1,100,70,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.32920825626939215,499.0,0.42102592001044165,3.2920825626939214,151.57578538724945,203.30949762877427
1,100,80,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.05006190494466628,491.0,0.871022416230094,6.508054150860767,75.44497765665632,33.846731648797046
1,100,80,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.16447596511060972,491.0,0.8978880994742635,21.381896846276106,22.96335089117751,26.41722827179596
1,100,80,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.041024761871516637,491.0,0.7602496767485831,5.333224376521539,92.06438082026513,66.87540425167724
1,100,80,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.17722219812508785,491.0,0.8891674906149967,23.038908795170215,21.311773242616912,28.805684185429868
1,100,80,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1,497.0,-0.010574601615797947,1.0,497.0,507.62349321461585
1,100,80,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.18904054228034117,497.0,0.03591508124342651,1.8904054228034117,262.9065670278097,462.5381107946463
1,100,80,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.1,497.0,-0.0151048280403466,1.0,497.0,512.2444640806093
1,100,80,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.12616555789252926,497.0,0.07496786136391392,1.2616555789252926,393.926843666285,427.6788073634291
1,100,80,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.34924833985020853,500.0,0.5183567488052988,3.492483398502085,143.1646032202897,158.60674758210695
